Step,AgentID,State,DistrictID
250,7,Recovered,23
250,82,Susceptible,3
250,2,Recovered,20
250,14,Susceptible,23
250,41,Dead,11
250,5,Dead,8
250,16,Dead,12
250,33,Susceptible,22
250,22,Recovered,23
250,47,Dead,18
250,8,Dead,10
250,24,Susceptible,0
250,50,Recovered,9
250,30,Dead,17
250,13,Dead,7
250,78,Recovered,13
250,45,Dead,21
250,57,Dead,20
250,19,Recovered,6
250,51,Susceptible,24
250,21,Dead,15
250,27,Dead,6
250,46,Dead,0
250,18,Susceptible,6
250,71,Dead,4
250,66,Susceptible,0
250,80,Dead,17
250,63,Susceptible,5
250,68,Susceptible,6
250,56,Susceptible,0
250,69,Dead,3
250,17,Dead,0
250,20,Recovered,9
250,15,Recovered,4
250,55,Susceptible,1
250,54,Dead,3
250,43,Susceptible,8
250,85,Dead,3
250,10,Susceptible,18
250,42,Recovered,24
250,38,Susceptible,11
250,49,Dead,10
250,67,Susceptible,17
250,61,Dead,12
250,59,Recovered,3
250,53,Susceptible,6
250,76,Susceptible,24
250,86,Dead,18
250,37,Dead,6
250,72,Susceptible,19
250,44,Susceptible,17
250,35,Susceptible,20
250,75,Dead,9
250,77,Susceptible,18
250,23,Dead,17
250,64,Susceptible,20
251,30,Dead,12
251,66,Susceptible,4
251,77,Susceptible,18
251,47,Dead,18
251,70,Recovered,17
251,3,Susceptible,24
251,59,Recovered,3
251,83,Susceptible,15
251,33,Susceptible,23
251,61,Dead,12
251,43,Susceptible,8
251,14,Susceptible,23
251,34,Susceptible,20
251,50,Recovered,9
251,37,Dead,6
251,46,Dead,4
251,60,Susceptible,1
251,81,Susceptible,21
251,69,Dead,3
251,52,Susceptible,6
251,7,Recovered,22
251,13,Dead,2
251,1,Susceptible,12
251,10,Susceptible,13
251,35,Susceptible,20
251,5,Dead,9
251,23,Dead,13
251,74,Susceptible,6
251,29,Dead,6
251,57,Dead,20
251,17,Dead,20
251,58,Recovered,10
251,15,Recovered,4
251,40,Dead,20
251,65,Susceptible,9
251,28,Recovered,1
251,51,Susceptible,24
251,44,Susceptible,17
251,8,Dead,15
251,9,Susceptible,22
251,85,Dead,3
251,63,Susceptible,5
251,42,Recovered,24
251,72,Susceptible,19
251,2,Recovered,20
251,18,Susceptible,6
251,75,Dead,14
251,67,Susceptible,16
251,62,Recovered,11
251,41,Dead,11
251,49,Dead,11
251,32,Recovered,19
251,79,Susceptible,21
251,21,Dead,10
251,88,Susceptible,13
251,24,Susceptible,0
251,82,Susceptible,3
251,68,Susceptible,7
251,31,Recovered,18
251,55,Susceptible,1
251,54,Dead,8
251,11,Susceptible,22
251,87,Dead,6
251,48,Susceptible,23
251,25,Dead,9
251,20,Recovered,9
251,6,Susceptible,22
251,73,Recovered,4
251,19,Recovered,6
251,78,Recovered,7
251,80,Dead,16
251,0,Susceptible,24
251,76,Susceptible,20
251,27,Dead,11
251,38,Susceptible,11
251,45,Dead,21
251,22,Recovered,18
251,86,Dead,18
251,89,Recovered,8
251,16,Dead,12
251,12,Dead,9
251,36,Dead,3
251,4,Susceptible,8
251,71,Dead,24
251,26,Recovered,13
251,64,Susceptible,20
251,53,Susceptible,5
251,56,Susceptible,1
251,39,Susceptible,6
251,84,Dead,4
252,74,Susceptible,6
252,21,Dead,10
252,0,Susceptible,24
252,62,Recovered,6
252,7,Recovered,22
252,27,Dead,11
252,30,Dead,17
252,51,Susceptible,24
252,26,Recovered,14
252,50,Recovered,9
252,87,Dead,5
252,64,Susceptible,20
252,9,Susceptible,22
252,39,Susceptible,6
252,37,Dead,6
252,81,Susceptible,16
252,10,Susceptible,13
252,88,Susceptible,18
252,54,Dead,3
252,60,Susceptible,21
252,76,Susceptible,20
252,34,Susceptible,24
252,63,Susceptible,9
252,71,Dead,24
252,38,Susceptible,6
252,53,Susceptible,6
252,48,Susceptible,2
252,35,Susceptible,15
252,5,Dead,13
252,56,Susceptible,1
252,8,Dead,15
252,89,Recovered,8
252,11,Susceptible,22
252,45,Dead,21
252,73,Recovered,3
252,65,Susceptible,14
252,47,Dead,18
252,57,Dead,21
252,70,Recovered,22
252,41,Dead,11
252,15,Recovered,4
252,68,Susceptible,7
252,32,Recovered,14
252,61,Dead,11
252,43,Susceptible,13
252,66,Susceptible,4
252,16,Dead,12
252,13,Dead,6
252,4,Susceptible,8
252,59,Recovered,4
252,75,Dead,13
252,22,Recovered,18
252,77,Susceptible,18
252,83,Susceptible,10
252,25,Dead,5
252,2,Recovered,20
252,19,Recovered,6
252,78,Recovered,8
252,17,Dead,0
252,79,Susceptible,0
252,80,Dead,22
252,1,Susceptible,13
252,6,Susceptible,23
252,82,Susceptible,3
252,44,Susceptible,18
252,67,Susceptible,22
252,49,Dead,11
252,18,Susceptible,6
252,20,Recovered,9
252,86,Dead,18
252,52,Susceptible,6
252,24,Susceptible,5
252,58,Recovered,10
252,84,Dead,9
252,12,Dead,14
252,29,Dead,6
252,46,Dead,0
252,14,Susceptible,24
252,23,Dead,13
252,28,Recovered,0
252,40,Dead,24
252,72,Susceptible,19
252,69,Dead,2
252,36,Dead,3
252,33,Susceptible,3
252,3,Susceptible,24
252,85,Dead,3
252,31,Recovered,19
252,42,Recovered,20
252,55,Susceptible,1
253,71,Dead,4
253,87,Dead,5
253,36,Dead,8
253,8,Dead,10
253,59,Recovered,23
253,66,Susceptible,4
253,82,Susceptible,3
253,41,Dead,11
253,84,Dead,3
253,38,Susceptible,6
253,85,Dead,2
253,22,Recovered,23
253,72,Susceptible,15
